start_station_name,casual,member
Kingsbury St & Kinzie St,9687,31739
DuSable Lake Shore Dr & Monroe St,31149,8282
Streeter Dr & Grand Ave,30223,8538
Michigan Ave & Oak St,22132,12470
DuSable Lake Shore Dr & North Blvd,19122,14309
