end_station_name,count
Kingsbury St & Kinzie St,41069
Streeter Dr & Grand Ave,39045
DuSable Lake Shore Dr & Monroe St,38363
DuSable Lake Shore Dr & North Blvd,34969
Michigan Ave & Oak St,34550
Clark St & Elm St,31637
Clinton St & Washington Blvd,31474
Clinton St & Madison St,30695
Canal St & Madison St,29896
Millennium Park,28627
