start_station_name,count
Kingsbury St & Kinzie St,41426
DuSable Lake Shore Dr & Monroe St,39431
Streeter Dr & Grand Ave,38761
Michigan Ave & Oak St,34602
DuSable Lake Shore Dr & North Blvd,33431
Clark St & Elm St,32042
Clinton St & Washington Blvd,31299
Clinton St & Madison St,30111
Canal St & Madison St,29517
Millennium Park,28313
