month_name,casual,member
January,23405,112331
February,27003,122097
March,82864,208458
April,105260,257921
May,175655,313996
June,278702,379523
July,308446,430394
August,323533,443130
September,254715,440939
October,210224,394666
November,90590,238773
December,37360,137569
