hour_of_day,casual,member
0,35781,31089
1,23158,19171
2,15114,11357
3,8458,7718
4,6781,8599
5,11025,32989
6,26309,99202
7,48276,195855
8,69522,252666
9,68829,165884
10,83505,142497
11,106271,166827
12,124266,187920
13,127958,183819
14,134284,186516
15,148301,232582
16,169503,327242
17,182728,371627
18,156409,287662
19,115001,198075
20,83394,137573
21,70379,107121
22,59875,77468
23,42630,48338
